answer,tokens_in,tokens_out,cost_usd,latency_s,id,source,label,model,mode,pred_raw
phishing,390,3,1.995e-05,3.097,spamassassin:4742,spamassassin,1,google/gemma-3-12b-it,zero,1
phishing,406,3,2.075e-05,0.663,spamassassin:5738,spamassassin,1,google/gemma-3-12b-it,zero,1
phishing,337,3,1.73e-05,2.743,spamassassin:4496,spamassassin,1,google/gemma-3-12b-it,zero,1
spam,438,2,2.22e-05,0.68,spamassassin:4625,spamassassin,1,google/gemma-3-12b-it,zero,1
phishing,204,3,1.065e-05,1.624,spamassassin:5468,spamassassin,1,google/gemma-3-12b-it,zero,1
phishing,475,3,2.42e-05,0.697,spamassassin:5352,spamassassin,1,google/gemma-3-12b-it,zero,1
spam,104,2,5.5e-06,0.52,spamassassin:4114,spamassassin,1,google/gemma-3-12b-it,zero,1
phishing,579,3,2.94e-05,1.548,spamassassin:4693,spamassassin,1,google/gemma-3-12b-it,zero,1
phishing,955,3,4.82e-05,1.266,spamassassin:5201,spamassassin,1,google/gemma-3-12b-it,zero,1
phishing,444,3,2.265e-05,1.145,spamassassin:5497,spamassassin,1,google/gemma-3-12b-it,zero,1
phishing,275,3,1.42e-05,1.767,spamassassin:5378,spamassassin,1,google/gemma-3-12b-it,zero,1
phishing,356,3,1.825e-05,1.11,spamassassin:4430,spamassassin,1,google/gemma-3-12b-it,zero,1
phishing,383,3,1.96e-05,1.098,spamassassin:5746,spamassassin,1,google/gemma-3-12b-it,zero,1
phishing,317,3,1.63e-05,0.494,spamassassin:4692,spamassassin,1,google/gemma-3-12b-it,zero,1
phishing,679,3,3.44e-05,1.073,spamassassin:4394,spamassassin,1,google/gemma-3-12b-it,zero,1
phishing,497,3,2.53e-05,1.151,spamassassin:5420,spamassassin,1,google/gemma-3-12b-it,zero,1
phishing,919,3,4.64e-05,0.708,spamassassin:5471,spamassassin,1,google/gemma-3-12b-it,zero,1
spam,398,2,2.02e-05,0.57,spamassassin:5118,spamassassin,1,google/gemma-3-12b-it,zero,1
phishing,448,3,2.285e-05,0.788,spamassassin:5301,spamassassin,1,google/gemma-3-12b-it,zero,1
phishing,438,3,2.235e-05,0.739,spamassassin:5185,spamassassin,1,google/gemma-3-12b-it,zero,1
phishing,337,3,1.73e-05,0.633,spamassassin:5721,spamassassin,1,google/gemma-3-12b-it,zero,1
phishing,284,3,1.465e-05,0.736,spamassassin:5037,spamassassin,1,google/gemma-3-12b-it,zero,1
phishing,427,3,2.18e-05,0.533,spamassassin:4473,spamassassin,1,google/gemma-3-12b-it,zero,1
phishing,434,3,2.215e-05,0.687,spamassassin:4169,spamassassin,1,google/gemma-3-12b-it,zero,1
phishing,267,3,1.38e-05,0.589,spamassassin:5027,spamassassin,1,google/gemma-3-12b-it,zero,1
phishing,526,3,2.675e-05,0.563,spamassassin:4422,spamassassin,1,google/gemma-3-12b-it,zero,1
phishing,82,3,4.55e-06,0.569,spamassassin:5012,spamassassin,1,google/gemma-3-12b-it,zero,1
phishing,485,3,2.47e-05,0.574,spamassassin:5781,spamassassin,1,google/gemma-3-12b-it,zero,1
phishing,607,3,3.08e-05,0.607,spamassassin:5503,spamassassin,1,google/gemma-3-12b-it,zero,1
